Name,Address,,,,
INDUSTRIAL SYSTEM , https://img.icons8.com/color/48/000000/factory.png,,,,
BUILDING , https://img.icons8.com/color/48/000000/home.png,,,,
MONUMENT , https://img.icons8.com/color/50/000000/monument.png,,,,
NATURAL HIGHPOINT , https://img.icons8.com/cotton/64/000000/mountain.png,,,,
STADIUM , https://img.icons8.com/color/48/000000/performance.png,,,,
POWER PLANT , https://img.icons8.com/color/48/000000/geothermal.png,,,,
BRIDGE , https://img.icons8.com/color/48/000000/bridge.png,,,,
POLE , https://img.icons8.com/ultraviolet/40/000000/filled-flag.png,,,,
ANTENNA , https://img.icons8.com/color/50/000000/gps-searching.png,,,,
GATE , https://img.icons8.com/office/16/000000/front-gate-open.png,,,,
CRANE , https://img.icons8.com/color/48/000000/crane.png,,,,
DOME , https://img.icons8.com/color/48/000000/home.png,,,,
ELECTRICAL EXIT LIGHT , https://img.icons8.com/color/48/000000/light.png,,,,
CONTROL TOWER , https://img.icons8.com/color/48/000000/airport.pngS,,,,
FUEL SYSTEM , https://img.icons8.com/color/48/000000/gas-pump.png,,,,
NAVAID , https://img.icons8.com/color/48/000000/compass.png,,,,
TREE , http://maps.google.com/mapfiles/kml/shapes/parks.png,,,,
OTHER , https://img.icons8.com/color/48/000000/spam.png,,,,
WATER TOWER , https://img.icons8.com/color/48/000000/water-tower.png,,,,
FENCE , https://img.icons8.com/color/48/000000/defensive-wood-wall.png,,,,
ELECTRIC SYSTEM , https://img.icons8.com/flat_round/64/000000/electro-devices.png,,,,
ELECTRICAL SYSTEM , https://img.icons8.com/flat_round/64/000000/electro-devices.png,,,,
TANK , https://img.icons8.com/ultraviolet/40/000000/oil-storage-tank.png,,,,
WALL , https://img.icons8.com/dusk/64/000000/brick-wall.png,,,,
HEAT COOL SYSTEM , https://img.icons8.com/color/48/000000/heating-room.png,,,,
TOWER , https://img.icons8.com/dusk/64/000000/radio-tower.png,,,,
